id,true_player,predicted_player,confidence,is_correct,true_position,pred_position
0,Troy Murphy,Troy Murphy,79.61886915596216,True,F,F
1,Chuck Hayes,Chuck Hayes,77.65387603009745,True,F,F
2,Brent Barry,Brent Barry,87.31666837352472,True,F,F
3,Craig Smith,Craig Smith,71.04682849194829,True,F,F
4,Stromile Swift,Darren Collison,61.18827574729395,False,F,F
5,Charlie Bell,Charlie Bell,78.3197774212016,True,F,F
6,Dwyane Wade,Tony Parker,46.443980285200915,False,G,G
7,Anderson Varejao,Joakim Noah,40.97326817118929,False,C,C
8,Mickael Pietrus,Mickael Pietrus,92.83321034791392,True,F,F
9,Yakhouba Diawara,Yakhouba Diawara,81.61945680354405,True,F,F
10,Damon Stoudamire,Jason Williams,44.59970218026291,False,F,F
11,Carlos Boozer,Carlos Boozer,79.64982757522563,True,F,F
12,Paul Millsap,Paul Millsap,79.54660732650247,True,F,F
13,Ime Udoka,Ime Udoka,91.47158197197979,True,F,F
14,Michael Doleac,Gilbert Arenas,44.41685377876606,False,F,F
15,Dwight Howard,Dwight Howard,94.8395995094563,True,C,C
16,Antoine Walker,Antoine Walker,92.07483603149323,True,F,F
17,Quentin Richardson,Quentin Richardson,91.38452236752363,True,F,F
18,Renaldo Balkman,Brandon Rush,50.566330226617275,False,F,F
19,J.R. Smith,Jose Calderon,41.343387582677416,False,G,G
20,Allen Iverson,Allen Iverson,71.80671234392524,True,F,F
21,Maurice Evans,Maurice Evans,84.43939504473265,True,F,F
22,Stephon Marbury,Stephon Marbury,80.08530313835989,True,F,F
23,Matt Barnes,T.J. Ford,58.86954450066153,False,F,F
24,Martell Webster,Martell Webster,88.51614069562258,True,F,F
25,Chris Webber,Chris Webber,75.99595076170358,True,F,F
26,Damon Jones,Damon Jones,78.53621983557959,True,F,F
27,Antawn Jamison,Ramon Sessions,46.1724857219873,False,F,F
28,Luther Head,Luther Head,82.10107863925316,True,F,F
29,Antonio McDyess,Antonio McDyess,94.14433437772975,True,F,F
30,Ronnie Price,Ronnie Price,85.64050175727289,True,F,F
31,Matt Harpring,Matt Harpring,76.99786893608008,True,F,F
32,Antawn Jamison,LaMarcus Aldridge,42.107847059823925,False,F,F
33,Mike Miller,Mike Miller,91.16965399763042,True,F,F
34,Luol Deng,Luol Deng,80.36169676954223,True,F,F
35,Trenton Hassell,Trenton Hassell,91.40374468989219,True,F,F
36,Juwan Howard,Juwan Howard,78.52009685068349,True,F,F
37,Antoine Walker,Jameer Nelson,58.647154693287426,False,F,F
38,Charlie Bell,Sean May,46.90831001321949,False,F,F
39,LaMarcus Aldridge,LaMarcus Aldridge,82.26265977116923,True,F,F
40,Zydrunas Ilgauskas,Zydrunas Ilgauskas,89.75755755843404,True,F,F
41,P.J. Brown,P.J. Brown,70.34284930212178,True,F,F
42,Smush Parker,Smush Parker,74.51849709918001,True,F,F
43,Udonis Haslem,Udonis Haslem,80.09855106619978,True,F,F
44,Carlos Arroyo,Carlos Arroyo,91.5872764867198,True,F,F
45,Deron Williams,Deron Williams,89.974263229164,True,G,G
46,Baron Davis,Baron Davis,82.18839621306103,True,F,F
47,Allen Iverson,Allen Iverson,80.61934904013204,True,F,F
48,Kobe Bryant,Kobe Bryant,83.77008645408046,True,G,G
49,Stephon Marbury,Stephon Marbury,85.72571417641079,True,F,F
50,Eddy Curry,Eddy Curry,78.48840758432878,True,F,F
51,Brian Skinner,Darren Collison,44.00529031458555,False,F,F
52,Anthony Parker,Al Thornton,56.94508986079087,False,F,F
53,Charlie Bell,Charlie Bell,89.03122688566908,True,F,F
54,Mickael Pietrus,Mickael Pietrus,86.75372586569907,True,F,F
55,Jared Jeffries,Jared Jeffries,82.43255024982236,True,F,F
56,Jamal Sampson,Jamal Sampson,84.11592272720391,True,F,F
57,Sebastian Telfair,Sebastian Telfair,73.16537045820408,True,F,F
58,Marcus Camby,Marcus Camby,91.47073342841905,True,F,F
59,Francisco Garcia,Francisco Garcia,71.24781682748403,True,F,F
60,Gilbert Arenas,Gilbert Arenas,74.29656229274543,True,F,F
61,Manu Ginobili,Ben Gordon,44.583082872195924,False,G,G
62,Steve Nash,Steve Nash,80.86782872750939,True,G,G
63,Caron Butler,Caron Butler,81.27778243434504,True,F,F
64,Ben Gordon,Ben Gordon,89.88042635148739,True,G,G
65,Carlos Delfino,Quentin Richardson,61.48021083649762,False,F,F
66,David Noel,David Noel,87.7514206336477,True,F,F
67,Jake Tsakalidis,Jake Tsakalidis,74.85724661291002,True,F,F
68,Amar'e Stoudemire,Smush Parker,51.205773652083494,False,F,F
69,Sam Cassell,Sam Cassell,72.89077905844282,True,F,F
70,Shaun Livingston,Shaun Livingston,94.80909734221123,True,F,F
71,Gordan Giricek,Gordan Giricek,84.49540098569808,True,F,F
72,Mike Sweetney,Mike Sweetney,93.08340889550962,True,F,F
73,Stephen Jackson,Stephen Jackson,73.75652195475297,True,F,F
74,Shammond Williams,Rafer Alston,43.16560874651943,False,F,F
75,Earl Boykins,Earl Boykins,72.66509689973178,True,F,F
76,Nate Robinson,Nate Robinson,73.65256307537945,True,F,F
77,Steve Francis,Shammond Williams,64.8429446943735,False,F,F
78,Josh Smith,Josh Smith,72.36449485684334,True,F,F
79,Charlie Villanueva,Charlie Villanueva,88.8429688030593,True,F,F
80,Rajon Rondo,Rajon Rondo,73.53450831256261,True,G,G
81,Lorenzen Wright,Earl Barron,57.55161378211275,False,F,F
82,Danny Granger,Danny Granger,77.55089012692582,True,F,F
83,Ben Gordon,Ben Gordon,86.68954821356077,True,G,G
84,Eric Snow,Eric Snow,85.52768621800939,True,F,F
85,Gerald Green,Gerald Green,94.95683854146564,True,F,F
86,David Lee,David Lee,87.90062223042673,True,F,F
87,Juan Dixon,Jonas Jerebko,57.03173496927627,False,F,F
88,Shaquille O'Neal,Shaquille O'Neal,81.76565268806529,True,F,F
89,Jordan Farmar,Jordan Farmar,94.60897551514944,True,F,F
90,Luol Deng,Luol Deng,81.17525204757212,True,F,F
91,Ricky Davis,Troy Murphy,46.263125803837504,False,F,F
92,Andris Biedrins,Chris Douglas-Roberts,48.25384133758445,False,F,F
93,Samuel Dalembert,Samuel Dalembert,71.25347670659585,True,C,C
94,P.J. Brown,Ronny Turiaf,55.71864155494611,False,F,F
95,Matt Barnes,Matt Barnes,74.63758728518931,True,F,F
96,Chris Duhon,Chris Duhon,78.52138398956812,True,F,F
97,Randy Foye,Randy Foye,74.85202078527823,True,F,F
98,Matt Harpring,Matt Harpring,83.48118149608635,True,F,F
99,Stephen Jackson,Stephen Jackson,88.31952450973543,True,F,F
