id,true_player,predicted_player,confidence,is_correct,true_position,pred_position
0,Troy Murphy,Troy Murphy,79.090072413214,True,F,F
1,Chuck Hayes,Chuck Hayes,71.55113532175072,True,F,F
2,Brent Barry,Brent Barry,80.1353772423099,True,F,F
3,Craig Smith,Craig Smith,91.3209368153741,True,F,F
4,Stromile Swift,Stromile Swift,83.86773060117345,True,F,F
5,Charlie Bell,Charlie Bell,76.4456351873376,True,F,F
6,Dwyane Wade,Dwyane Wade,90.04582029364703,True,G,G
7,Anderson Varejao,Anderson Varejao,85.33963379289867,True,C,C
8,Mickael Pietrus,Mickael Pietrus,91.52087255432365,True,F,F
9,Yakhouba Diawara,Yakhouba Diawara,92.44986403636153,True,F,F
10,Damon Stoudamire,Damon Stoudamire,88.52055417587233,True,F,F
11,Carlos Boozer,Marvin Williams,50.65219554848436,False,F,F
12,Paul Millsap,Paul Millsap,79.54815412135736,True,F,F
13,Ime Udoka,Andre Miller,42.95226179902002,False,F,F
14,Michael Doleac,Peja Stojakovic,53.82538554793202,False,F,F
15,Dwight Howard,Dwight Howard,79.24294516481596,True,C,C
16,Antoine Walker,Antoine Walker,76.16031663335683,True,F,F
17,Quentin Richardson,Quentin Richardson,74.33572735792875,True,F,F
18,Renaldo Balkman,Renaldo Balkman,94.49336746446077,True,F,F
19,J.R. Smith,J.R. Smith,85.67162993885957,True,G,G
20,Allen Iverson,Allen Iverson,74.67776825953207,True,F,F
21,Maurice Evans,Mike Bibby,52.931926605251455,False,F,F
22,Stephon Marbury,Al-Farouq Aminu,49.89352846606274,False,F,F
23,Matt Barnes,Matt Barnes,83.72372085392432,True,F,F
24,Martell Webster,Martell Webster,84.62185091442697,True,F,F
25,Chris Webber,Chris Webber,93.75957443772344,True,F,F
26,Damon Jones,Stromile Swift,58.45622784056144,False,F,F
27,Antawn Jamison,Antawn Jamison,75.32039370911629,True,F,F
28,Luther Head,Luther Head,94.57515281141183,True,F,F
29,Antonio McDyess,Antonio McDyess,83.88109299152435,True,F,F
30,Ronnie Price,Ronnie Price,85.77114031717434,True,F,F
31,Matt Harpring,Matt Harpring,84.87970249965917,True,F,F
32,Antawn Jamison,Antawn Jamison,72.92247457249911,True,F,F
33,Mike Miller,Mike Miller,70.2855715017924,True,F,F
34,Luol Deng,Luol Deng,87.28315659946801,True,F,F
35,Trenton Hassell,Trenton Hassell,92.90372259334974,True,F,F
36,Juwan Howard,Jeremy Evans,56.37267851977993,False,F,F
37,Antoine Walker,Antoine Walker,92.71383386847536,True,F,F
38,Charlie Bell,Grant Hill,49.44151931492301,False,F,F
39,LaMarcus Aldridge,Rodney Carney,57.73688124773804,False,F,F
40,Zydrunas Ilgauskas,Zydrunas Ilgauskas,80.7889589858785,True,F,F
41,P.J. Brown,P.J. Brown,86.9335486782072,True,F,F
42,Smush Parker,Smush Parker,70.13005197335436,True,F,F
43,Udonis Haslem,Udonis Haslem,91.31974119026422,True,F,F
44,Carlos Arroyo,Brandon Bass,57.239720455325546,False,F,F
45,Deron Williams,Jason Kidd,45.18918283315783,False,G,G
46,Baron Davis,Baron Davis,74.38044031667056,True,F,F
47,Allen Iverson,Allen Iverson,73.39182346470872,True,F,F
48,Kobe Bryant,Kobe Bryant,73.49274737597604,True,G,G
49,Stephon Marbury,Luc Mbah a Moute,64.6804864661497,False,F,F
50,Eddy Curry,Eddy Curry,70.60733733165243,True,F,F
51,Brian Skinner,Brian Skinner,84.23295258101166,True,F,F
52,Anthony Parker,Anthony Parker,93.72768178746342,True,F,F
53,Charlie Bell,Charlie Bell,84.19767890751243,True,F,F
54,Mickael Pietrus,Mickael Pietrus,94.87929666160322,True,F,F
55,Jared Jeffries,Jared Jeffries,77.96144439948712,True,F,F
56,Jamal Sampson,Jamal Sampson,71.63870393292224,True,F,F
57,Sebastian Telfair,Sebastian Telfair,71.48809859490494,True,F,F
58,Marcus Camby,Marcus Camby,82.7351922034215,True,F,F
59,Francisco Garcia,Jared Dudley,61.94248274040229,False,F,F
60,Gilbert Arenas,Gilbert Arenas,87.88636500607767,True,F,F
61,Manu Ginobili,Manu Ginobili,92.28212302635993,True,G,G
62,Steve Nash,Steve Nash,91.65164272807895,True,G,G
63,Caron Butler,Caron Butler,88.78516821523215,True,F,F
64,Ben Gordon,Ben Gordon,90.49055411573357,True,G,G
65,Carlos Delfino,Carlos Delfino,83.34520354696404,True,F,F
66,David Noel,David Noel,91.78039289837486,True,F,F
67,Jake Tsakalidis,Jake Tsakalidis,74.7504711635618,True,F,F
68,Amar'e Stoudemire,Amar'e Stoudemire,81.4994141747436,True,F,F
69,Sam Cassell,Stephen Graham,56.74422292921852,False,F,F
70,Shaun Livingston,Shaun Livingston,89.47146263136568,True,F,F
71,Gordan Giricek,Gordan Giricek,93.60319730109022,True,F,F
72,Mike Sweetney,Mike Sweetney,82.7102945798199,True,F,F
73,Stephen Jackson,Stephen Jackson,88.6034237213232,True,F,F
74,Shammond Williams,D.J. White,60.788412387829574,False,F,F
75,Earl Boykins,Matt Bonner,46.72983986875979,False,F,F
