id,true_player,predicted_player,confidence,is_correct,true_position,pred_position
0,Troy Murphy,Troy Murphy,82.08340247126262,True,F,F
1,Chuck Hayes,Chuck Hayes,76.66338579758849,True,F,F
2,Brent Barry,Brent Barry,82.80311518650304,True,F,F
3,Craig Smith,Craig Smith,74.55362257869079,True,F,F
4,Stromile Swift,Stromile Swift,80.59638217289343,True,F,F
5,Charlie Bell,Charlie Bell,93.80573977297611,True,F,F
6,Dwyane Wade,Dwyane Wade,70.44704185405723,True,G,G
7,Anderson Varejao,Anderson Varejao,76.27370684372023,True,C,C
8,Mickael Pietrus,Mickael Pietrus,94.73383838448017,True,F,F
9,Yakhouba Diawara,Bobby Jackson,46.28350660937841,False,F,F
10,Damon Stoudamire,Damon Stoudamire,74.95492488066309,True,F,F
11,Carlos Boozer,Mark Blount,50.086043286190595,False,F,F
12,Paul Millsap,Paul Millsap,70.32689635686287,True,F,F
13,Ime Udoka,Ime Udoka,89.38010121720545,True,F,F
14,Michael Doleac,Michael Doleac,71.49852316948773,True,F,F
15,Dwight Howard,Dwight Howard,93.97529685994657,True,C,C
16,Antoine Walker,Elton Brand,49.079493087051105,False,F,F
17,Quentin Richardson,Marcus Banks,44.34615181690656,False,F,F
18,Renaldo Balkman,Renaldo Balkman,87.19925760488978,True,F,F
19,J.R. Smith,J.R. Smith,70.18018966489615,True,G,G
20,Allen Iverson,Allen Iverson,71.14434657308033,True,F,F
21,Maurice Evans,Maurice Evans,92.930842622326,True,F,F
22,Stephon Marbury,Stephon Marbury,91.18304919944177,True,F,F
23,Matt Barnes,Derek Fisher,52.53667947230127,False,F,F
24,Martell Webster,Martell Webster,83.51490889586375,True,F,F
25,Chris Webber,Nick Fazekas,43.91436651582019,False,F,F
26,Damon Jones,Damon Jones,84.24148067381472,True,F,F
27,Antawn Jamison,Raja Bell,40.94991951925037,False,F,F
28,Luther Head,Chris Webber,47.104881104381136,False,F,F
29,Antonio McDyess,Antonio McDyess,90.69369065878148,True,F,F
30,Ronnie Price,Ronnie Price,92.27229691936249,True,F,F
31,Matt Harpring,Allen Iverson,63.628325235742956,False,F,F
32,Antawn Jamison,Ira Newble,57.980421323863816,False,F,F
33,Mike Miller,Mike Miller,70.04406901523058,True,F,F
34,Luol Deng,Luol Deng,71.12668990809055,True,F,F
35,Trenton Hassell,Mikki Moore,61.60106994012769,False,F,F
36,Juwan Howard,Ricky Davis,49.28204207466984,False,F,F
37,Antoine Walker,Antoine Walker,87.04536397499437,True,F,F
38,Charlie Bell,Charlie Bell,84.52546746416422,True,F,F
39,LaMarcus Aldridge,LaMarcus Aldridge,72.05235121301648,True,F,F
40,Zydrunas Ilgauskas,Chris Quinn,52.268094227872155,False,F,F
41,P.J. Brown,Leandro Barbosa,45.4972342408702,False,F,F
42,Smush Parker,Smush Parker,79.04916762189809,True,F,F
43,Udonis Haslem,Chris Kaman,61.5788998271823,False,F,F
44,Carlos Arroyo,Carlos Arroyo,85.76016424568087,True,F,F
45,Deron Williams,Deron Williams,82.79459601975799,True,G,G
46,Baron Davis,Baron Davis,70.173505051795,True,F,F
47,Allen Iverson,Allen Iverson,78.33895057577084,True,F,F
48,Kobe Bryant,Kobe Bryant,73.88506590051091,True,G,G
49,Stephon Marbury,Stephon Marbury,86.9382285265493,True,F,F
50,Eddy Curry,Damon Jones,48.4776860062553,False,F,F
51,Brian Skinner,Brian Skinner,84.4032969334032,True,F,F
52,Anthony Parker,Anthony Parker,80.77377449518836,True,F,F
