id,season,home_team,away_team,true_player,predicted_player,confidence,is_correct
0,2007,IND,BOS,Troy Murphy,Troy Murphy,23.835978878503404,True
4,2007,MEM,LAL,Stromile Swift,Stromile Swift,50.743241839035015,True
9,2007,DEN,TOR,Yakhouba Diawara,Yakhouba Diawara,56.181377470732066,True
12,2007,UTA,WAS,Paul Millsap,Mehmet Okur,42.3427430346868,False
14,2007,MIA,LAL,Michael Doleac,Jason Kapono,32.63650546299071,False
17,2007,NYK,SAS,Quentin Richardson,Steve Francis,30.418715112693523,False
22,2007,NYK,PHI,Stephon Marbury,Stephon Marbury,43.58712680584842,True
33,2007,MEM,MIA,Mike Miller,Kyle Lowry,21.821228641022408,False
35,2007,MIN,NOK,Trenton Hassell,Ricky Davis,36.711698523601314,False
40,2007,CLE,TOR,Zydrunas Ilgauskas,Zydrunas Ilgauskas,89.38424016097785,True
41,2007,CHI,CLE,P.J. Brown,P.J. Brown,59.15594049964034,True
43,2007,MIA,LAC,Udonis Haslem,Michael Doleac,41.618428966331216,False
49,2007,NYK,MIA,Stephon Marbury,Renaldo Balkman,42.84872676200573,False
60,2007,WAS,DAL,Gilbert Arenas,Gilbert Arenas,63.808352560296115,True
62,2007,PHO,DAL,Steve Nash,Steve Nash,55.15951103873055,True
70,2007,LAC,DAL,Shaun Livingston,Tim Thomas,81.55717555995587,False
73,2007,GSW,UTA,Stephen Jackson,Stephen Jackson,62.33215095120508,True
74,2007,LAL,GSW,Shammond Williams,Smush Parker,46.63361209033575,False
77,2007,NYK,TOR,Steve Francis,Stephon Marbury,45.764042196387294,False
88,2007,MIA,SAC,Shaquille O'Neal,Michael Doleac,66.52768915908524,False
91,2007,MIN,LAC,Ricky Davis,Rashad McCants,31.261063110203143,False
99,2007,GSW,ATL,Stephen Jackson,Stephen Jackson,45.73025548360697,True
100,2008,CHI,NOH,Tyrus Thomas,Tyrus Thomas,64.06102922722357,True
103,2008,DEN,HOU,Kenyon Martin,Marcus Camby,45.01494529643147,False
107,2008,DEN,MIL,Nene Hilario,Marcus Camby,50.17013458317401,False
115,2008,CHI,UTA,Luol Deng,Luol Deng,54.15547299665694,True
118,2008,BOS,NYK,Ray Allen,Tony Allen,49.40801427388289,False
122,2008,WAS,DAL,DeShawn Stevenson,DeShawn Stevenson,70.82936670892397,True
126,2008,PHI,NYK,Willie Green,Thaddeus Young,41.48048895140382,False
130,2008,WAS,NYK,Oleksiy Pecherov,Roger Mason,41.66228290769688,False
133,2008,UTA,WAS,Paul Millsap,Mehmet Okur,43.77043047065512,False
134,2008,SAS,ATL,Tony Parker,Tony Parker,72.95145628172344,True
135,2008,MEM,LAL,Rudy Gay,Rudy Gay,48.09558706247252,True
142,2008,HOU,CHA,Tracy McGrady,Yao Ming,47.78061275028339,False
153,2008,SAS,SAC,Michael Finley,Matt Bonner,37.16723573597388,False
159,2008,MIN,MEM,Rashad McCants,Rashad McCants,47.69609930788923,True
161,2008,PHO,NJN,Steve Nash,Marcus Banks,25.339165425339804,False
164,2008,TOR,NJN,Rasho Nesterovic,Rasho Nesterovic,43.82244561326765,True
171,2008,MEM,DEN,Mike Miller,Rudy Gay,28.532627864780093,False
175,2008,POR,GSW,Steve Blake,Steve Blake,49.31489289342581,True
177,2008,LAC,IND,Tim Thomas,Josh Powell,43.381147167877856,False
183,2008,GSW,DAL,Monta Ellis,Monta Ellis,48.70919510307311,True
186,2008,ATL,NYK,Mike Bibby,Mike Bibby,43.39459277580926,True
188,2008,POR,BOS,Steve Blake,Steve Blake,42.943802818931516,True
189,2008,DAL,GSW,Josh Howard,Jason Terry,26.203003202999177,False
191,2008,POR,MIN,Steve Blake,Steve Blake,50.73944098489752,True
194,2008,HOU,MIN,Tracy McGrady,Tracy McGrady,73.20308239971787,True
197,2008,SAC,MEM,Mikki Moore,Kevin Martin,43.07403402297788,False
204,2009,DEN,ORL,Nene Hilario,Nene Hilario,48.138105990523236,True
209,2009,CHI,MIL,Luol Deng,Luol Deng,65.6236554266953,True
212,2009,CLE,UTA,Zydrunas Ilgauskas,Zydrunas Ilgauskas,45.129215517735965,True
214,2009,PHI,CHI,Royal Ivey,Royal Ivey,51.713063501569934,True
222,2009,POR,MIA,Travis Outlaw,Travis Outlaw,48.94565618802059,True
233,2009,PHO,MIA,Raja Bell,Raja Bell,30.477471257020426,True
235,2009,HOU,GSW,Von Wafer,Yao Ming,39.008525179255486,False
240,2009,BOS,NJN,Tony Allen,Tony Allen,78.4578958854914,True
243,2009,MEM,HOU,Quinton Ross,Quinton Ross,54.78689987686689,True
246,2009,MIA,TOR,Shawn Marion,Michael Beasley,34.509145904600466,False
250,2009,POR,ATL,Travis Outlaw,Travis Outlaw,69.07659950945005,True
258,2009,BOS,PHI,Ray Allen,Tony Allen,58.89189303645661,False
262,2009,DAL,PHO,Josh Howard,Josh Howard,47.14013752624177,True
